Date,Open,High,Low,Close,Adj Close,Volume
1/12/2007,1.03,1.03,1.03,1.03,0.863794,7000
1/1/2008,1.03,1.07,1.03,1.06,0.888953,289000
1/2/2008,1.062,1.065,1.058,1.058,0.887276,109000
1/3/2008,1.06,1.1,1.051,1.072,0.899017,497000
1/4/2008,1.067,1.08,1.065,1.07,0.89734,34000
1/5/2008,1.063,1.063,1.04,1.057,0.886437,171000
1/6/2008,1.03,1.031,1,1.03,0.863794,59000
1/7/2008,1.02,1.039,1,1.039,0.871342,193000
1/8/2008,1.04,1.05,1.025,1.05,0.880567,101000
1/9/2008,1.045,1.055,1.045,1.05,0.880567,23000
1/10/2008,1.06,1.06,1,1,0.838635,118000
1/11/2008,1.03,1.03,1.01,1.02,0.855408,435000
1/12/2008,1.04,1.08,1.02,1.05,0.880567,419000
1/1/2009,1.075,1.08,1.07,1.08,0.905726,418000
1/2/2009,1.08,1.08,1.078,1.08,0.905726,480000
1/3/2009,1.08,1.08,1.078,1.078,0.904049,310000
1/4/2009,1.078,1.08,1.075,1.08,0.905726,268000
1/5/2009,1.078,1.09,1.075,1.09,0.914112,75000
1/6/2009,1.08,1.09,1.071,1.071,0.898178,36000
1/7/2009,1.09,1.1,1.07,1.1,0.922499,78000
1/8/2009,1.085,1.1,1.07,1.1,0.922499,64000
1/9/2009,1.085,1.1,1.085,1.1,0.922499,93000
1/10/2009,1.1,1.1,1.09,1.1,0.922499,189000
1/11/2009,1.11,1.11,1.08,1.09,0.914112,190000
1/12/2009,1.09,1.1,1.085,1.09,0.914112,156000
1/1/2010,1.08,1.1,1.07,1.09,0.914112,116000
1/2/2010,1.104,1.104,1.104,1.104,0.925853,15000
1/3/2010,1.095,1.095,1.095,1.095,0.918305,21000
1/4/2010,1.11,1.12,1.086,1.12,0.939271,34000
1/5/2010,1.096,1.16,1.096,1.16,0.972817,395000
1/6/2010,1.16,1.16,1.09,1.12,0.939271,50000
1/7/2010,1.12,1.24,1.1,1.1,0.922499,280000
1/8/2010,1.145,1.18,1.145,1.15,0.96443,69000
1/9/2010,1.14,1.24,1.13,1.19,0.997976,248000
1/10/2010,1.18,1.18,1.15,1.15,0.96443,625000
1/11/2010,1.16,1.18,1.12,1.12,0.939271,99000
1/12/2010,1.13,1.15,1.08,1.115,0.935078,147000
1/1/2011,1.11,1.13,1.1,1.1,0.922499,129000
1/2/2011,1.12,1.12,1.1,1.1,0.922499,125000
1/3/2011,1.108,1.127,1.107,1.118,0.937594,183000
1/4/2011,1.12,1.17,1.095,1.17,0.981203,307000
1/5/2011,1.17,1.2,1.115,1.18,0.989589,166000
1/6/2011,1.18,1.18,1.14,1.145,0.960237,96000
1/7/2011,1.145,1.16,1.13,1.15,0.96443,625000
1/8/2011,1.16,1.27,1.16,1.26,1.05668,414000
1/9/2011,1.25,1.3,1.16,1.185,0.993783,1139000
1/10/2011,1.18,1.23,1.18,1.19,0.997976,96000
1/11/2011,1.18,1.2,1.15,1.165,0.97701,162000
1/12/2011,1.18,1.229,1.144,1.168,0.979526,957000
1/1/2012,1.165,1.215,1.165,1.165,0.97701,312000
1/2/2012,1.18,1.201,1.166,1.18,0.989589,277000
1/3/2012,1.18,1.184,1.166,1.166,0.977849,329000
1/4/2012,1.18,1.205,1.172,1.183,0.992105,114000
1/5/2012,1.18,1.2,1.18,1.19,0.997976,329000
1/6/2012,1.175,1.219,1.175,1.199,1.005523,141000
1/7/2012,1.18,1.249,1.18,1.207,1.012233,249000
1/8/2012,1.2062,1.237,1.1997,1.2,1.006362,264000
1/9/2012,1.21,1.234,1.181,1.23,1.031521,189000
1/10/2012,1.2,1.26,1.19,1.26,1.05668,254000
1/11/2012,1.1941,1.22,1.18,1.2,1.006362,277000
1/12/2012,1.18,1.25,1.175,1.19,0.997976,192000
1/1/2013,1.19,1.22,1.071,1.186,0.994621,338000
1/2/2013,1.18,1.189,1.175,1.18,0.989589,839000
1/3/2013,1.1861,1.19,1.176,1.185,0.993783,872000
1/4/2013,1.18,1.204,1.18,1.18,0.989589,160000
1/5/2013,1.2,1.21,1.16,1.19,0.997976,271000
1/6/2013,1.188,1.19,1.1363,1.16,0.972817,227000
1/7/2013,1.15,1.16,1.12,1.159,0.971978,464000
1/8/2013,1.15,1.155,1.13,1.15,0.96443,374000
1/9/2013,1.14,1.16,1.11,1.12,0.939271,370000
1/10/2013,1.155,1.16,1.122,1.145,0.960237,241000
1/11/2013,1.145,1.16,1.083,1.1333,0.969668,146000
1/12/2013,1.13,1.1315,1.12,1.13,0.966844,189000
