Entered At,Exited At,Symbol,Type,Expiration,DTE,Short Strike,Long Strike,Quantity,Entry Price,Bid at Entry,Ask at Entry,Exit Price,Bid at Exit,Ask at Exit,Profit,Broker Fee,Risk,ROC,Assigned,Starting Balance,Ending Balance,PM Settled,Delta,IV,SPX at Entry,SPX at Exit,VIX at Entry,VIX at Exit
1/9/2016 9:31,2/9/2016 16:00,SPXW,Put,2/9/2016 0:00,1,2115,1815,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,500000,500357,Yes,-0.0266,0.2283,2171.08,2179.98,13.49,11.92
2/9/2016 15:30,6/9/2016 16:00,SPXW,Put,6/9/2016 0:00,4,2125,1825,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,500357,500799,Yes,-0.0302,0.1296,2179.77,2186.48,12.08,12.01
6/9/2016 15:30,7/9/2016 16:00,SPXW,Put,7/9/2016 0:00,1,2145,1850,17,-0.13,0.1,0.25,0,,,187,34,501500,0.000372881,No,500799,500986,Yes,-0.0264,0.1701,2183.47,2186.16,12.19,11.89
7/9/2016 15:30,9/9/2016 16:00,SPXW,Put,9/9/2016 0:00,2,2135,1835,17,-0.23,0.2,0.35,7.19,,,-11866,34,510000,-0.023266667,Yes,500986,489120,Yes,-0.029,0.1634,2185.2,2127.81,11.96,17.14
9/9/2016 15:30,12/9/2016 16:00,SPXW,Put,12/9/2016 0:00,3,2050,1750,16,-0.53,0.45,0.7,0,,,816,32,480000,0.0017,No,489120,489936,Yes,-0.0312,0.251,2139.62,2159.04,16.38,15.04
12/9/2016 15:30,14/9/2016 16:00,SPXW,Put,14/9/2016 0:00,2,2080,1775,16,-0.41,0.35,0.55,0,,,624,32,488000,0.001278689,No,489936,490560,Yes,-0.0287,0.2639,2159.63,2125.77,15.08,17.66
14/9/2016 15:30,16/9/2016 9:30,SPX,Put,16/9/2016 0:00,2,2050,1750,16,-0.33,0.1,0.65,0,,,496,32,480000,0.001033333,No,490560,491056,No,-0.0281,0.2513,2119.93,2146.48,18.08,16.57
16/9/2016 9:31,19/9/2016 16:00,SPXW,Put,19/9/2016 0:00,3,2070,1775,17,-0.34,0.25,0.5,0,,,544,34,501500,0.001084746,No,491056,491600,Yes,-0.0293,0.1842,2143.14,2139.12,16.57,15.61
19/9/2016 15:30,21/9/2016 16:00,SPXW,Put,21/9/2016 0:00,2,2070,1775,17,-0.36,0.3,0.5,0,,,578,34,501500,0.001152542,No,491600,492178,Yes,-0.0288,0.2378,2141.33,2163.12,15.44,13.17
21/9/2016 15:30,23/9/2016 16:00,SPXW,Put,23/9/2016 0:00,2,2090,1790,16,-0.41,0.35,0.55,0,,,624,32,480000,0.0013,No,492178,492802,Yes,-0.032,0.2339,2158.63,2164.69,13.52,12.28
23/9/2016 15:30,26/9/2016 16:00,SPXW,Put,26/9/2016 0:00,3,2115,1825,17,-0.26,0.2,0.4,0,,,408,34,493000,0.000827586,No,492802,493210,Yes,-0.0291,0.1456,2168.69,2146.1,12.16,14.63
26/9/2016 15:30,28/9/2016 16:00,SPXW,Put,28/9/2016 0:00,2,2065,1775,17,-0.41,0.4,0.5,0,,,663,34,493000,0.001344828,No,493210,493873,Yes,-0.0277,0.2763,2148.73,2171.37,14.42,12.31
28/9/2016 15:30,30/9/2016 16:00,SPXW,Put,30/9/2016 0:00,2,2105,1805,16,-0.33,0.3,0.45,0,,,496,32,480000,0.001033333,No,493873,494369,Yes,-0.0305,0.2071,2166.78,2168.27,12.68,13.29
30/9/2016 15:30,3/10/2016 16:00,SPXW,Put,3/10/2016 0:00,3,2120,1820,16,-0.23,0.2,0.35,0,,,336,32,480000,0.0007,No,494369,494705,Yes,-0.0275,0.1429,2173.63,2161.2,12.74,13.64
3/10/2016 15:30,5/10/2016 16:00,SPXW,Put,5/10/2016 0:00,2,2105,1800,16,-0.23,0.2,0.35,0,,,336,32,488000,0.000688525,No,494705,495041,Yes,-0.0279,0.1732,2158.88,2159.73,13.76,13.04
5/10/2016 15:30,7/10/2016 16:00,SPXW,Put,7/10/2016 0:00,2,2105,1805,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,495041,495483,Yes,-0.0305,0.1824,2159.44,2153.74,13.02,13.41
7/10/2016 15:30,10/10/2016 16:00,SPXW,Put,10/10/2016 0:00,3,2110,1800,16,-0.26,0.2,0.4,0,,,384,32,496000,0.000774194,No,495483,495867,Yes,-0.0326,0.1288,2155.97,2163.66,13.35,13.44
10/10/2016 15:30,12/10/2016 16:00,SPXW,Put,12/10/2016 0:00,2,2120,1820,17,-0.21,0.2,0.3,0,,,323,34,510000,0.000633333,No,495867,496190,Yes,-0.0296,0.1477,2164.58,2139.18,13.41,15.74
12/10/2016 15:30,14/10/2016 16:00,SPXW,Put,14/10/2016 0:00,2,2085,1780,16,-0.28,0.25,0.4,0,,,416,32,488000,0.000852459,No,496190,496606,Yes,-0.0301,0.1863,2139.95,2132.98,15.62,16.01
14/10/2016 15:30,17/10/2016 16:00,SPXW,Put,17/10/2016 0:00,3,2090,1800,17,-0.21,0.15,0.35,0,,,323,34,493000,0.000655172,No,496606,496929,Yes,-0.0289,0.126,2135.84,2126.5,15.92,16.31
17/10/2016 15:30,19/10/2016 16:00,SPXW,Put,19/10/2016 0:00,2,2075,1775,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,496929,497371,Yes,-0.0315,0.178,2126.9,2144.29,16.39,14.39
19/10/2016 15:30,21/10/2016 9:30,SPX,Put,21/10/2016 0:00,2,2100,1800,17,-0.26,0.2,0.4,0,,,408,34,510000,0.0008,No,497371,497779,No,-0.0321,0.1735,2146.9,2139.43,14.23,14.05
21/10/2016 9:31,24/10/2016 16:00,SPXW,Put,24/10/2016 0:00,3,2085,1775,16,-0.23,0.15,0.4,0,,,336,32,496000,0.000677419,No,497779,498115,Yes,-0.0301,0.1266,2134.32,2151.33,14.05,12.97
24/10/2016 15:30,26/10/2016 16:00,SPXW,Put,26/10/2016 0:00,2,2105,1800,16,-0.23,0.2,0.35,0,,,336,32,488000,0.000688525,No,498115,498451,Yes,-0.031,0.1537,2150.49,2139.43,13.03,14.33
26/10/2016 15:30,28/10/2016 16:00,SPXW,Put,28/10/2016 0:00,2,2085,1780,16,-0.28,0.25,0.4,0,,,416,32,488000,0.000852459,No,498451,498867,Yes,-0.0301,0.1869,2140.3,2126.41,14.23,16.48
28/10/2016 15:30,31/10/2016 16:00,SPXW,Put,31/10/2016 0:00,3,2065,1760,16,-0.36,0.3,0.5,0,,,544,32,488000,0.001114754,No,498867,499411,Yes,-0.03,0.1866,2131.98,2126.15,16.29,17.3
31/10/2016 15:30,2/11/2016 16:00,SPXW,Put,2/11/2016 0:00,2,2065,1775,17,-0.38,0.35,0.5,0,,,612,34,493000,0.001241379,No,499411,500023,Yes,-0.0326,0.2198,2128.43,2097.94,17.33,19.15
2/11/2016 15:30,4/11/2016 16:00,SPXW,Put,4/11/2016 0:00,2,2045,1740,16,-0.31,0.25,0.45,0,,,464,32,488000,0.00095082,No,500023,500487,Yes,-0.0302,0.2024,2104.38,2085.18,18.69,22.91
9/11/2016 9:31,11/11/2016 16:00,SPXW,Put,11/11/2016 0:00,2,2010,1710,17,-0.64,0.35,1,0,,,1054,34,510000,0.002066667,No,500487,501541,Yes,-0.0286,0.3864,2133.74,2164.45,17.24,14.33
11/11/2016 15:30,14/11/2016 16:00,SPXW,Put,14/11/2016 0:00,3,2095,1800,17,-0.38,0.35,0.5,0,,,612,34,501500,0.001220339,No,501541,502153,Yes,-0.0318,0.1828,2160.62,2164.2,14.68,14.5
14/11/2016 15:30,16/11/2016 16:00,SPXW,Put,16/11/2016 0:00,2,2100,1800,17,-0.33,0.3,0.45,0,,,527,34,510000,0.001033333,No,502153,502680,Yes,-0.0293,0.2174,2166.28,2176.94,14.45,13.73
16/11/2016 15:30,18/11/2016 9:30,SPX,Put,18/11/2016 0:00,2,2120,1820,17,-0.26,0.1,0.5,0,,,408,34,510000,0.0008,No,502680,503088,No,-0.0298,0.2007,2176.42,2186.85,13.69,13.36
18/11/2016 9:31,21/11/2016 16:00,SPXW,Put,21/11/2016 0:00,3,2145,1840,16,-0.18,0.15,0.3,0,,,256,32,488000,0.00052459,No,503088,503344,Yes,-0.0282,0.1106,2187.93,2198.18,13.36,12.17
21/11/2016 15:30,23/11/2016 16:00,SPXW,Put,23/11/2016 0:00,2,2150,1850,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,503344,503616,Yes,-0.0272,0.1461,2195.91,2204.72,12.31,12.36
23/11/2016 15:30,25/11/2016 16:00,SPXW,Put,25/11/2016 0:00,2,2160,1860,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,503616,503888,Yes,-0.0289,0.1359,2202.16,2213.35,12.61,12.34
25/11/2016 15:30,28/11/2016 16:00,SPXW,Put,28/11/2016 0:00,3,2165,1860,17,-0.21,0,0.5,0,,,323,34,518500,0.000622951,No,503888,504211,Yes,-0.0278,0.1271,2213.35,2201.72,12.34,13.08
28/11/2016 15:30,30/11/2016 16:00,SPXW,Put,30/11/2016 0:00,2,2145,1845,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,504211,504653,Yes,-0.0294,0.1863,2202.69,2198.81,13.07,13.38
30/11/2016 15:30,2/12/2016 16:00,SPXW,Put,2/12/2016 0:00,2,2155,1855,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,504653,505010,Yes,-0.0286,0.1646,2205.74,2191.95,12.97,14.12
2/12/2016 15:30,5/12/2016 16:00,SPXW,Put,5/12/2016 0:00,3,2110,1810,17,-0.46,0.4,0.6,0,,,748,34,510000,0.001466667,No,505010,505758,Yes,-0.0302,0.2228,2191.8,2204.71,14.04,12.24
5/12/2016 15:30,7/12/2016 16:00,SPXW,Put,7/12/2016 0:00,2,2160,1860,17,-0.21,0.2,0.3,0,,,323,34,510000,0.000633333,No,505758,506081,Yes,-0.0299,0.1438,2204.44,2241.35,12.44,12.07
7/12/2016 15:30,9/12/2016 16:00,SPXW,Put,9/12/2016 0:00,2,2185,1885,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,506081,506523,Yes,-0.0306,0.175,2238.95,2259.53,11.8,11.76
9/12/2016 15:30,12/12/2016 16:00,SPXW,Put,12/12/2016 0:00,3,2220,1920,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,506523,506795,Yes,-0.0302,0.103,2259.22,2256.96,11.87,12.66
12/12/2016 15:30,14/12/2016 16:00,SPXW,Put,14/12/2016 0:00,2,2190,1890,17,-0.31,0.3,0.4,0,,,493,34,510000,0.000966667,No,506795,507288,Yes,-0.028,0.2061,2255.13,2253.28,12.74,13.32
14/12/2016 15:30,16/12/2016 9:30,SPX,Put,16/12/2016 0:00,2,2185,1885,17,-0.36,0,0.8,0,,,578,34,510000,0.001133333,No,507288,507866,No,-0.0291,0.2407,2255,2266.81,13.16,12.79
16/12/2016 9:31,19/12/2016 16:00,SPXW,Put,19/12/2016 0:00,3,2205,1900,17,-0.33,0.25,0.5,0,,,527,34,518500,0.001016393,No,507866,508393,Yes,-0.0306,0.1558,2266.66,2262.53,12.79,11.7
19/12/2016 15:30,21/12/2016 16:00,SPXW,Put,21/12/2016 0:00,2,2215,1910,17,-0.18,0.15,0.3,0,,,272,34,518500,0.00052459,No,508393,508665,Yes,-0.0269,0.1434,2260.71,2265.18,11.86,11.27
21/12/2016 15:30,23/12/2016 16:00,SPXW,Put,23/12/2016 0:00,2,2225,1925,17,-0.16,0.15,0.25,0,,,238,34,510000,0.000466667,No,508665,508903,Yes,-0.0268,0.1292,2267.14,2263.79,11.38,11.5
23/12/2016 15:30,27/12/2016 16:00,SPXW,Put,27/12/2016 0:00,4,2215,1910,17,-0.23,0.2,0.35,0,,,357,34,518500,0.000688525,No,508903,509260,Yes,-0.0307,0.1055,2261.14,2268.88,11.62,11.94
27/12/2016 15:30,28/12/2016 16:00,SPXW,Put,28/12/2016 0:00,1,2240,1940,17,-0.13,0.1,0.25,0,,,187,34,510000,0.000366667,No,509260,509447,Yes,-0.0312,0.1353,2270.18,2249.92,11.9,12.91
28/12/2016 15:30,30/12/2016 16:00,SPXW,Put,30/12/2016 0:00,2,2195,1895,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,509447,509889,Yes,-0.0296,0.1806,2251.49,2238.83,12.94,14.07
3/1/2017 9:31,4/1/2017 16:00,SPXW,Put,4/1/2017 0:00,1,2205,1900,17,-0.26,0.2,0.4,0,,,408,34,518500,0.000786885,No,509889,510297,Yes,-0.0305,0.204,2255.92,2270.75,13.91,11.91
4/1/2017 15:30,6/1/2017 16:00,SPXW,Put,6/1/2017 0:00,2,2225,1925,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,510297,510654,Yes,-0.0311,0.1455,2271.26,2276.98,11.79,11.4
6/1/2017 15:30,9/1/2017 16:00,SPXW,Put,9/1/2017 0:00,3,2235,1930,17,-0.18,0.15,0.3,0,,,272,34,518500,0.00052459,No,510654,510926,Yes,-0.028,0.1116,2278.56,2268.9,11.46,11.61
9/1/2017 15:30,11/1/2017 16:00,SPXW,Put,11/1/2017 0:00,2,2230,1930,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,510926,511198,Yes,-0.0286,0.1332,2272.44,2275.32,11.53,11.26
11/1/2017 15:30,13/1/2017 16:00,SPXW,Put,13/1/2017 0:00,2,2225,1925,17,-0.26,0.25,0.35,0,,,408,34,510000,0.0008,No,511198,511606,Yes,-0.0321,0.1518,2271.9,2274.64,11.41,11.41
13/1/2017 15:30,17/1/2017 16:00,SPXW,Put,17/1/2017 0:00,4,2225,1925,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,511606,511963,Yes,-0.0294,0.1101,2274,2267.89,11.46,11.93
17/1/2017 15:30,18/1/2017 16:00,SPXW,Put,18/1/2017 0:00,1,2205,1900,17,-0.33,0.3,0.45,0,,,527,34,518500,0.001016393,No,511963,512490,Yes,-0.0316,0.2667,2264.15,2271.89,12.06,12.45
18/1/2017 15:30,20/1/2017 9:30,SPX,Put,20/1/2017 0:00,2,2205,1905,17,-0.36,0.2,0.6,0,,,578,34,510000,0.001133333,No,512490,513068,No,-0.0311,0.2224,2269.13,2269.96,12.53,12.66
20/1/2017 9:31,23/1/2017 16:00,SPXW,Put,23/1/2017 0:00,3,2195,1900,17,-0.41,0.35,0.55,0,,,663,34,501500,0.001322034,No,513068,513731,Yes,-0.0291,0.1947,2272.01,2265.2,12.66,11.85
23/1/2017 15:30,25/1/2017 16:00,SPXW,Put,25/1/2017 0:00,2,2210,1900,17,-0.28,0.25,0.4,0,,,442,34,527000,0.00083871,No,513731,514173,Yes,-0.0303,0.1751,2264.62,2298.37,12.01,10.7
25/1/2017 15:30,27/1/2017 16:00,SPXW,Put,27/1/2017 0:00,2,2255,1955,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,514173,514530,Yes,-0.0328,0.1355,2297.21,2294.69,10.65,10.47
27/1/2017 15:30,30/1/2017 16:00,SPXW,Put,30/1/2017 0:00,3,2250,1950,17,-0.21,0.2,0.3,0,,,323,34,510000,0.000633333,No,514530,514853,Yes,-0.031,0.1087,2291.67,2280.9,10.6,11.85
30/1/2017 15:30,31/1/2017 16:00,SPXW,Put,31/1/2017 0:00,1,2225,1925,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,514853,515210,Yes,-0.0289,0.2208,2274.94,2278.87,12.08,12.06
31/1/2017 15:30,1/2/2017 16:00,SPXW,Put,1/2/2017 0:00,1,2230,1930,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,515210,515567,Yes,-0.0311,0.2027,2275.6,2279.55,12.35,11.7
1/2/2017 15:30,3/2/2017 16:00,SPXW,Put,3/2/2017 0:00,2,2215,1915,17,-0.33,0.3,0.45,0,,,527,34,510000,0.001033333,No,515567,516094,Yes,-0.0295,0.2049,2279.96,2297.42,11.62,10.78
3/2/2017 15:30,6/2/2017 16:00,SPXW,Put,6/2/2017 0:00,3,2250,1950,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,516094,516451,Yes,-0.0306,0.1201,2296.47,2292.56,10.82,11.26
6/2/2017 15:30,8/2/2017 16:00,SPXW,Put,8/2/2017 0:00,2,2235,1930,17,-0.28,0.25,0.4,0,,,442,34,518500,0.000852459,No,516451,516893,Yes,-0.03,0.1749,2291.23,2294.67,11.28,11.36
8/2/2017 15:30,10/2/2017 16:00,SPXW,Put,10/2/2017 0:00,2,2245,1945,17,-0.21,0.2,0.3,0,,,323,34,510000,0.000633333,No,516893,517216,Yes,-0.0273,0.1528,2295.29,2316.1,11.33,10.88
10/2/2017 15:30,13/2/2017 16:00,SPXW,Put,13/2/2017 0:00,3,2275,1975,17,-0.21,0.15,0.35,0,,,323,34,510000,0.000633333,No,517216,517539,Yes,-0.0314,0.1056,2316.66,2328.25,10.84,11.15
13/2/2017 15:30,15/2/2017 16:00,SPXW,Put,15/2/2017 0:00,2,2270,1970,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,517539,517981,Yes,-0.029,0.179,2328.58,2349.25,11.17,11.97
15/2/2017 15:30,17/2/2017 9:30,SPX,Put,17/2/2017 0:00,2,2285,1985,17,-0.36,0.25,0.55,0,,,578,34,510000,0.001133333,No,517981,518559,No,-0.0317,0.2223,2349.96,2343.01,11.68,11.9
17/2/2017 9:31,21/2/2017 16:00,SPXW,Put,21/2/2017 0:00,4,2270,1970,17,-0.36,0.3,0.5,0,,,578,34,510000,0.001133333,No,518559,519137,Yes,-0.0286,0.1513,2341.28,2365.38,11.9,11.58
21/2/2017 15:30,22/2/2017 16:00,SPXW,Put,22/2/2017 0:00,1,2335,2030,17,-0.11,0.1,0.2,0,,,153,34,518500,0.000295082,No,519137,519290,Yes,-0.0281,0.1281,2365.57,2362.82,11.61,11.72
22/2/2017 15:30,24/2/2017 16:00,SPXW,Put,24/2/2017 0:00,2,2320,2020,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,519290,519562,Yes,-0.0285,0.1286,2363.59,2367.34,11.71,11.34
24/2/2017 15:30,27/2/2017 16:00,SPXW,Put,27/2/2017 0:00,3,2320,2020,17,-0.21,0.15,0.35,0,,,323,34,510000,0.000633333,No,519562,519885,Yes,-0.0314,0.1039,2361.2,2369.75,11.38,12.06
27/2/2017 15:30,28/2/2017 16:00,SPXW,Put,28/2/2017 0:00,1,2335,2035,17,-0.18,0.15,0.3,0,,,272,34,510000,0.000533333,No,519885,520157,Yes,-0.0323,0.1557,2371.03,2363.64,11.97,12.82
28/2/2017 15:30,1/3/2017 16:00,SPXW,Put,1/3/2017 0:00,1,2315,2010,17,-0.23,0.2,0.35,0,,,357,34,518500,0.000688525,No,520157,520514,Yes,-0.0301,0.2029,2362.79,2395.96,12.78,12.35
1/3/2017 15:30,3/3/2017 16:00,SPXW,Put,3/3/2017 0:00,2,2345,2045,17,-0.26,0.2,0.4,0,,,408,34,510000,0.0008,No,520514,520922,Yes,-0.0291,0.1608,2398.24,2383.12,12.21,11
3/3/2017 15:30,6/3/2017 16:00,SPXW,Put,6/3/2017 0:00,3,2345,2040,17,-0.13,0.1,0.25,0,,,187,34,518500,0.000360656,No,520922,521109,Yes,-0.0266,0.0907,2382.74,2375.31,11.09,11.19
6/3/2017 15:30,8/3/2017 16:00,SPXW,Put,8/3/2017 0:00,2,2335,2030,17,-0.18,0.15,0.3,0,,,272,34,518500,0.00052459,No,521109,521381,Yes,-0.0292,0.1243,2376.71,2362.98,11.1,11.74
8/3/2017 15:30,10/3/2017 16:00,SPXW,Put,10/3/2017 0:00,2,2315,2015,17,-0.23,0.2,0.35,0,,,357,34,510000,0.0007,No,521381,521738,Yes,-0.0285,0.154,2365.72,2372.6,11.56,11.53
10/3/2017 15:30,13/3/2017 16:00,SPXW,Put,13/3/2017 0:00,3,2320,2020,17,-0.28,0.25,0.4,0,,,442,34,510000,0.000866667,No,521738,522180,Yes,-0.0315,0.131,2372.67,2373.47,11.51,11.29
13/3/2017 15:30,15/3/2017 16:00,SPXW,Put,15/3/2017 0:00,2,2300,2000,17,-0.43,0.4,0.55,0,,,697,34,510000,0.001366667,No,522180,522877,Yes,-0.0319,0.2251,2372.25,2385.26,11.41,11.48
15/3/2017 15:30,17/3/2017 9:30,SPX,Put,17/3/2017 0:00,2,2325,2025,17,-0.26,0.15,0.45,0,,,408,34,510000,0.0008,No,522877,523285,No,-0.0263,0.1953,2386.97,2383.71,11.27,11.09
17/3/2017 9:31,20/3/2017 16:00,SPXW,Put,20/3/2017 0:00,3,2320,2020,17,-0.34,0.25,0.5,0,,,544,34,510000,0.001066667,No,523285,523829,Yes,-0.0312,0.1536,2382.99,2373.47,11.09,11.35
20/3/2017 15:30,22/3/2017 16:00,SPXW,Put,22/3/2017 0:00,2,2315,2010,17,-0.33,0.3,0.45,0,,,527,34,518500,0.001016393,No,523829,524356,Yes,-0.0311,0.1849,2375.24,2348.45,11.26,12.65
22/3/2017 15:30,24/3/2017 16:00,SPXW,Put,24/3/2017 0:00,2,2255,1955,17,-0.51,0.5,0.6,0,,,833,34,510000,0.001633333,No,524356,525189,Yes,-0.0289,0.2912,2349.3,2343.98,12.44,13
27/3/2017 9:31,29/3/2017 16:00,SPXW,Put,29/3/2017 0:00,2,2230,1925,17,-0.49,0.4,0.65,0,,,799,34,518500,0.001540984,No,525189,525988,Yes,-0.0293,0.2738,2322.77,2361.13,13.81,11.4
29/3/2017 15:30,31/3/2017 16:00,SPXW,Put,31/3/2017 0:00,2,2305,2005,18,-0.28,0.25,0.4,0,,,468,36,540000,0.000866667,No,525988,526456,Yes,-0.0292,0.1751,2362.69,2362.72,11.26,12.25
31/3/2017 15:30,3/4/2017 16:00,SPXW,Put,3/4/2017 0:00,3,2310,2000,17,-0.31,0.25,0.45,0,,,493,34,527000,0.000935484,No,526456,526949,Yes,-0.0309,0.1437,2367.19,2358.84,12.24,12.36
