,Unnamed: 0,Delta,Width,Timing,Alloc.,PT / Ladder,CAGR,Drawdown,Score,Updated
0,,3,50,S 1-4 DTE,10%,-,5.6%,-4.9%,0.88,May 16 2021
1,,3,50,S 1-4 DTE,20%,-,11.2%,-10.0%,0.89,May 16 2021
2,,3,50,S 1-4 DTE,30%,-,17.2%,-14.8%,0.86,May 16 2021
3,,3,50,S 1-4 DTE,50%,-,29.2%,-24.7%,0.85,May 16 2021
4,,3,50,S 1-4 DTE,10%,70%,1.0%,-13.4%,13.40,May 16 2021
5,,3,50,S 1-4 DTE,20%,70%,1.5%,-26.4%,17.60,May 16 2021
6,,3,50,S 1-4 DTE,30%,70%,1.4%,-39.1%,27.93,May 16 2021
7,,3,50,S 1-4 DTE,50%,70%,-0.5%,-60.8%,-,May 16 2021
8,,3,50,S 1-4 DTE,10%,80%,5.9%,-7.2%,1.22,May 16 2021
9,,3,50,S 1-4 DTE,20%,80%,11.9%,-14.5%,1.22,May 16 2021
10,,3,50,S 1-4 DTE,30%,80%,18.0%,-21.7%,1.21,May 16 2021
11,,3,50,S 1-4 DTE,50%,80%,30.3%,-36.4%,1.20,May 16 2021
12,,3,100,S 1-4 DTE,10%,-,4.6%,-2.4%,0.52,May 16 2021
13,,3,100,S 1-4 DTE,20%,-,9.4%,-5.0%,0.53,May 16 2021
14,,3,100,S 1-4 DTE,30%,-,14.5%,-7.4%,0.51,May 16 2021
15,,3,100,S 1-4 DTE,50%,-,25.1%,-12.2%,0.49,May 16 2021
16,,3,100,S 1-4 DTE,10%,70%,1.1%,-11.2%,10.18,May 16 2021
17,,3,100,S 1-4 DTE,20%,70%,1.7%,-22.8%,13.41,May 16 2021
18,,3,100,S 1-4 DTE,30%,70%,2.5%,-32.3%,12.92,May 16 2021
19,,3,100,S 1-4 DTE,50%,70%,1.7%,-52.6%,30.94,May 16 2021
20,,3,100,S 1-4 DTE,10%,80%,3.2%,-5.3%,1.66,May 16 2021
21,,3,100,S 1-4 DTE,20%,80%,6.5%,-11.4%,1.75,May 16 2021
22,,3,100,S 1-4 DTE,30%,80%,9.7%,-17.1%,1.76,May 16 2021
23,,3,100,S 1-4 DTE,50%,80%,16.3%,-27.5%,1.69,May 16 2021
24,,3,150,S 1-4 DTE,10%,-,3.7%,-1.9%,0.51,May 16 2021
25,,3,150,S 1-4 DTE,20%,-,7.5%,-3.5%,0.47,May 16 2021
26,,3,150,S 1-4 DTE,30%,-,11.6%,-4.9%,0.42,May 16 2021
27,,3,150,S 1-4 DTE,50%,-,19.9%,-8.3%,0.42,May 16 2021
28,,3,150,S 1-4 DTE,10%,70%,1.6%,-6.2%,3.88,May 16 2021
29,,3,150,S 1-4 DTE,20%,70%,3.1%,-14.2%,4.58,May 16 2021
30,,3,150,S 1-4 DTE,30%,70%,4.4%,-21.3%,4.84,May 16 2021
31,,3,150,S 1-4 DTE,50%,70%,7.0%,-34.5%,4.93,May 16 2021
32,,3,150,S 1-4 DTE,10%,80%,2.6%,-3.7%,1.42,May 16 2021
33,,3,150,S 1-4 DTE,20%,80%,5.5%,-7.4%,1.35,May 16 2021
34,,3,150,S 1-4 DTE,30%,80%,8.4%,-11.1%,1.32,May 16 2021
35,,3,150,S 1-4 DTE,50%,80%,14.1%,-18.0%,1.28,May 16 2021
36,,3,200,S 1-4 DTE,10%,-,3.4%,-1.4%,0.41,May 16 2021
37,,3,200,S 1-4 DTE,20%,-,6.1%,-2.7%,0.44,May 16 2021
38,,3,200,S 1-4 DTE,30%,-,9.5%,-3.8%,0.40,May 16 2021
39,,3,200,S 1-4 DTE,50%,-,16.4%,-6.1%,0.37,May 16 2021
40,,3,200,S 1-4 DTE,10%,70%,1.7%,-5.5%,3.24,May 16 2021
41,,3,200,S 1-4 DTE,20%,70%,3.4%,-9.4%,2.76,May 16 2021
42,,3,200,S 1-4 DTE,30%,70%,4.7%,-15.2%,3.23,May 16 2021
43,,3,200,S 1-4 DTE,50%,70%,7.8%,-24.9%,3.19,May 16 2021
44,,3,200,S 1-4 DTE,10%,80%,3.3%,-2.0%,0.61,May 16 2021
45,,3,200,S 1-4 DTE,20%,80%,5.8%,-3.9%,0.67,May 16 2021
46,,3,200,S 1-4 DTE,30%,80%,9.1%,-5.5%,0.60,May 16 2021
47,,3,200,S 1-4 DTE,50%,80%,15.4%,-9.3%,0.60,May 16 2021
48,,3,250,S 1-4 DTE,10%,-,2.5%,-0.9%,0.36,May 16 2021
49,,3,250,S 1-4 DTE,20%,-,5.3%,-1.9%,0.36,May 16 2021
50,,3,250,S 1-4 DTE,30%,-,8.0%,-3.0%,0.38,May 16 2021
51,,3,250,S 1-4 DTE,50%,-,13.7%,-4.8%,0.35,May 16 2021
52,,3,250,S 1-4 DTE,75%,-,21.2%,-7.5%,0.35,May 16 2021
53,,3,250,S 1-4 DTE,100%,-,29.1%,-9.9%,0.34,May 16 2021
54,,3,250,S 1-4 DTE,10%,70%,1.6%,-3.5%,2.19,May 16 2021
55,,3,250,S 1-4 DTE,20%,70%,3.2%,-6.9%,2.16,May 16 2021
56,,3,250,S 1-4 DTE,30%,70%,4.9%,-10.2%,2.08,May 16 2021
57,,3,250,S 1-4 DTE,50%,70%,7.6%,-18.7%,2.46,May 16 2021
58,,3,250,S 1-4 DTE,75%,70%,11.5%,-27.4%,2.38,May 16 2021
59,,3,250,S 1-4 DTE,100%,70%,14.8%,-35.9%,2.43,May 16 2021
60,,3,250,S 1-4 DTE,10%,80%,2.4%,-1.4%,0.58,May 16 2021
61,,3,250,S 1-4 DTE,20%,80%,5.0%,-2.7%,0.54,May 16 2021
62,,3,250,S 1-4 DTE,30%,80%,7.6%,-4.4%,0.58,May 16 2021
63,,3,250,S 1-4 DTE,50%,80%,12.9%,-7.5%,0.58,May 16 2021
64,,3,250,S 1-4 DTE,75%,80%,19.9%,-10.7%,0.54,May 16 2021
65,,3,250,S 1-4 DTE,100%,80%,27.2%,-14.5%,0.53,May 16 2021
66,,3,300,S 1-4 DTE,10%,-,2.5%,-0.9%,0.36,May 16 2021
67,,3,300,S 1-4 DTE,20%,-,4.5%,-1.8%,0.40,May 16 2021
68,,3,300,S 1-4 DTE,30%,-,6.7%,-2.7%,0.40,May 16 2021
69,,3,300,S 1-4 DTE,50%,-,11.7%,-4.1%,0.35,May 16 2021
70,,3,300,S 1-4 DTE,75%,-,17.9%,-6.0%,0.34,May 16 2021
71,,3,300,S 1-4 DTE,100%,-,24.5%,-8.2%,0.33,May 16 2021
72,,3,300,S 1-4 DTE,10%,70%,1.6%,-3.4%,2.13,May 16 2021
73,,3,300,S 1-4 DTE,20%,70%,2.8%,-5.1%,1.82,May 16 2021
