Strategy report
Symbol: SPY
Work Time: 1/4/05 - 12/31/10


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DataExporter(SellClose);Sell to Close;-1.0;$121.76;1/4/05;$1.86;$2.93;-1.0;
2;DataExporter(;120.46;120.54;118.44;118.83;N/A;0.0919);Buy to Open;1.0;$119.90;1/4/05;;$1.86;0.0;
3;DataExporter(SellClose);Sell to Close;-1.0;$120.54;1/5/05;$2.10;$4.39;-1.0;
4;DataExporter(;118.74;119.25;118;118.01;N/A;0.089);Buy to Open;1.0;$118.44;1/5/05;;$3.96;0.0;
5;DataExporter(SellClose);Sell to Close;-1.0;$119.25;1/6/05;$1.25;$4.60;-1.0;
6;DataExporter(;118.44;119.15;118.26;118.61;N/A;0.0884);Buy to Open;1.0;$118.00;1/6/05;;$5.21;0.0;
7;DataExporter(SellClose);Sell to Close;-1.0;$119.15;1/7/05;$0.89;$5.92;-1.0;
8;DataExporter(;118.97;119.23;118.13;118.44;N/A;0.0874);Buy to Open;1.0;$118.26;1/7/05;;$6.10;0.0;
9;DataExporter(SellClose);Sell to Close;-1.0;$119.23;1/10/05;$1.10;$6.33;-1.0;
10;DataExporter(;118.34;119.46;118.34;119;0.1222;0.0892);Buy to Open;1.0;$118.13;1/10/05;;$7.20;0.0;
11;DataExporter(SellClose);Sell to Close;-1.0;$119.46;1/11/05;$1.12;$8.48;-1.0;
12;DataExporter(;118.64;118.74;117.99;118.18;0.121;0.0858);Buy to Open;1.0;$118.34;1/11/05;;$8.32;0.0;
13;DataExporter(SellClose);Sell to Close;-1.0;$118.74;1/12/05;$0.75;$8.49;-1.0;
14;DataExporter(;118.4;118.84;117.52;118.57;0.1192;0.0857);Buy to Open;1.0;$117.99;1/12/05;;$9.07;0.0;
15;DataExporter(SellClose);Sell to Close;-1.0;$118.84;1/13/05;$1.32;$10.29;-1.0;
16;DataExporter(;118.64;118.73;117.5;117.62;0.1199;0.089);Buy to Open;1.0;$117.52;1/13/05;;$10.39;0.0;
17;DataExporter(SellClose);Sell to Close;-1.0;$118.73;1/14/05;$1.23;$10.88;-1.0;
18;DataExporter(;117.97;118.53;117.76;118.24;0.1169;0.0921);Buy to Open;1.0;$117.50;1/14/05;;$11.62;0.0;
19;DataExporter(SellClose);Sell to Close;-1.0;$118.53;1/18/05;$0.77;$10.68;-1.0;
20;DataExporter(;118.05;119.62;117.95;119.47;0.1206;0.0921);Buy to Open;1.0;$117.76;1/18/05;;$12.39;0.0;
21;DataExporter(SellClose);Sell to Close;-1.0;$119.62;1/19/05;$1.67;$13.79;-1.0;
22;DataExporter(;119.43;119.52;118.21;118.22;0.1266;0.0994);Buy to Open;1.0;$117.95;1/19/05;;$14.06;0.0;
23;DataExporter(SellClose);Sell to Close;-1.0;$119.52;1/20/05;$1.31;$16.08;-1.0;
24;DataExporter(;117.89;118.2;117.29;117.5;0.1331;0.0963);Buy to Open;1.0;$118.21;1/20/05;;$15.37;0.0;
25;DataExporter(SellClose);Sell to Close;-1.0;$118.20;1/21/05;$0.91;$16.79;-1.0;
26;DataExporter(;117.79;118;116.65;116.78;0.1359;0.0968);Buy to Open;1.0;$117.29;1/21/05;;$16.28;0.0;
27;DataExporter(SellClose);Sell to Close;-1.0;$118.00;1/24/05;$1.35;$17.73;-1.0;
28;DataExporter(;117.09;117.34;116.37;116.55;0.1412;0.0964);Buy to Open;1.0;$116.65;1/24/05;;$17.63;0.0;
29;DataExporter(SellClose);Sell to Close;-1.0;$117.34;1/25/05;$0.97;$18.09;-1.0;
30;DataExporter(;116.91;117.47;116.72;116.88;0.1352;0.0978);Buy to Open;1.0;$116.37;1/25/05;;$18.60;0.0;
31;DataExporter(SellClose);Sell to Close;-1.0;$117.47;1/26/05;$0.75;$18.84;-1.0;
32;DataExporter(;117.32;117.6;117.04;117.23;0.1289;0.0958);Buy to Open;1.0;$116.72;1/26/05;;$19.35;0.0;
33;DataExporter(SellClose);Sell to Close;-1.0;$117.60;1/27/05;$0.56;$19.52;-1.0;
34;DataExporter(;117.19;117.75;116.98;117.43;0.1266;0.0959);Buy to Open;1.0;$117.04;1/27/05;;$19.91;0.0;
35;DataExporter(SellClose);Sell to Close;-1.0;$117.75;1/28/05;$0.77;$20.23;-1.0;
36;DataExporter(;117.49;117.55;116.61;117.43;0.1273;0.096);Buy to Open;1.0;$116.98;1/28/05;;$20.68;0.0;
37;DataExporter(SellClose);Sell to Close;-1.0;$117.55;1/31/05;$0.94;$20.07;-1.0;
38;DataExporter(;117.95;118.25;117.71;118.16;0.1246;0.0999);Buy to Open;1.0;$116.61;1/31/05;;$21.62;0.0;
39;DataExporter(SellClose);Sell to Close;-1.0;$118.25;2/1/05;$0.54;$20.96;-1.0;
40;DataExporter(;118.25;119.08;118.1;118.91;0.1173;0.1023);Buy to Open;1.0;$117.71;2/1/05;;$22.16;0.0;
41;DataExporter(SellClose);Sell to Close;-1.0;$119.08;2/2/05;$0.98;$21.97;-1.0;
42;DataExporter(;119.06;119.59;118.9;119.27;0.1142;0.093);Buy to Open;1.0;$118.10;2/2/05;;$23.14;0.0;
43;DataExporter(SellClose);Sell to Close;-1.0;$119.59;2/3/05;$0.69;$23.62;-1.0;
44;DataExporter(;119.06;119.16;118.57;119.11;0.1166;0.0894);Buy to Open;1.0;$118.90;2/3/05;;$23.83;0.0;
45;DataExporter(SellClose);Sell to Close;-1.0;$119.16;2/4/05;$0.59;$22.76;-1.0;
46;DataExporter(;119;120.43;118.98;120.23;0.1073;0.0935);Buy to Open;1.0;$118.57;2/4/05;;$24.42;0.0;
47;DataExporter(SellClose);Sell to Close;-1.0;$120.43;2/7/05;$1.45;$24.78;-1.0;
48;DataExporter(;120.25;120.52;119.96;120.07;0.1148;0.0935);Buy to Open;1.0;$118.98;2/7/05;;$25.87;0.0;
49;DataExporter(SellClose);Sell to Close;-1.0;$120.52;2/8/05;$0.56;$26.18;-1.0;
50;DataExporter(;120.17;120.65;120.07;120.21;0.1142;0.0923);Buy to Open;1.0;$119.96;2/8/05;;$26.43;0.0;
51;DataExporter(SellClose);Sell to Close;-1.0;$120.65;2/9/05;$0.58;$27.77;-1.0;
52;DataExporter(;120.42;120.49;119.25;119.31;0.119;0.093);Buy to Open;1.0;$120.07;2/9/05;;$27.01;0.0;
53;DataExporter(SellClose);Sell to Close;-1.0;$120.49;2/10/05;$1.24;$27.76;-1.0;
54;DataExporter(;119.66;120.02;119.26;119.74;0.1149;0.0931);Buy to Open;1.0;$119.25;2/10/05;;$28.25;0.0;
55;DataExporter(SellClose);Sell to Close;-1.0;$120.02;2/11/05;$0.76;$27.50;-1.0;
56;DataExporter(;119.7;121.04;119.46;120.77;0.1122;0.0916);Buy to Open;1.0;$119.26;2/11/05;;$29.01;0.0;
57;DataExporter(SellClose);Sell to Close;-1.0;$121.04;2/14/05;$1.58;$29.37;-1.0;
58;DataExporter(;120.69;120.86;120.48;120.68;0.1138;0.0906);Buy to Open;1.0;$119.46;2/14/05;;$30.59;0.0;
59;DataExporter(SellClose);Sell to Close;-1.0;$120.86;2/15/05;$0.38;$30.32;-1.0;
60;DataExporter(;120.8;121.43;120.68;121.13;0.1124;0.0844);Buy to Open;1.0;$120.48;2/15/05;;$30.97;0.0;
61;DataExporter(SellClose);Sell to Close;-1.0;$121.43;2/16/05;$0.75;$31.19;-1.0;
62;DataExporter(;120.93;121.46;120.67;121.21;0.1097;0.0733);Buy to Open;1.0;$120.68;2/16/05;;$31.72;0.0;
63;DataExporter(SellClose);Sell to Close;-1.0;$121.46;2/17/05;$0.79;$32.95;-1.0;
64;DataExporter(;121.23;121.33;120.22;120.23;0.1139;0.0763);Buy to Open;1.0;$120.67;2/17/05;;$32.51;0.0;
65;DataExporter(SellClose);Sell to Close;-1.0;$121.33;2/18/05;$1.11;$33.45;-1.0;
66;DataExporter(;120.14;120.48;119.9;120.39;0.1098;0.0713);Buy to Open;1.0;$120.22;2/18/05;;$33.62;0.0;
67;DataExporter(SellClose);Sell to Close;-1.0;$120.48;2/22/05;$0.58;$35.50;-1.0;
68;DataExporter(;119.9;120.47;118.58;118.6;0.1293;0.0917);Buy to Open;1.0;$119.90;2/22/05;;$34.20;0.0;
69;DataExporter(SellClose);Sell to Close;-1.0;$120.47;2/23/05;$1.89;$35.22;-1.0;
70;DataExporter(;118.93;119.57;118.62;119.45;0.1204;0.0942);Buy to Open;1.0;$118.58;2/23/05;;$36.09;0.0;
71;DataExporter(SellClose);Sell to Close;-1.0;$119.57;2/24/05;$0.95;$35.42;-1.0;
72;DataExporter(;119.24;120.32;118.98;120.24;0.1127;0.096);Buy to Open;1.0;$118.62;2/24/05;;$37.04;0.0;
73;DataExporter(SellClose);Sell to Close;-1.0;$120.32;2/25/05;$1.34;$35.93;-1.0;
74;DataExporter(;120.27;121.67;120.18;121.43;0.1099;0.1007);Buy to Open;1.0;$118.98;2/25/05;;$38.38;0.0;
75;DataExporter(SellClose);Sell to Close;-1.0;$121.67;2/28/05;$1.49;$39.42;-1.0;
76;DataExporter(;121.15;121.3;120.04;120.63;0.1198;0.1048);Buy to Open;1.0;$120.18;2/28/05;;$39.87;0.0;
77;DataExporter(SellClose);Sell to Close;-1.0;$121.30;3/1/05;$1.26;$39.94;-1.0;
78;DataExporter(;120.82;121.52;120.78;121.23;0.1184;0.1042);Buy to Open;1.0;$120.04;3/1/05;;$41.13;0.0;
79;DataExporter(SellClose);Sell to Close;-1.0;$121.52;3/2/05;$0.74;$41.48;-1.0;
80;DataExporter(;120.76;121.93;120.65;121.17;0.1226;0.1026);Buy to Open;1.0;$120.78;3/2/05;;$41.87;0.0;
81;DataExporter(SellClose);Sell to Close;-1.0;$121.93;3/3/05;$1.28;$42.58;-1.0;
82;DataExporter(;121.66;121.9;120.7;121.22;0.1234;0.1023);Buy to Open;1.0;$120.65;3/3/05;;$43.15;0.0;
83;DataExporter(SellClose);Sell to Close;-1.0;$121.90;3/4/05;$1.20;$42.32;-1.0;
84;DataExporter(;122.05;122.83;121.79;122.73;0.116;0.1098);Buy to Open;1.0;$120.70;3/4/05;;$44.35;0.0;
85;DataExporter(SellClose);Sell to Close;-1.0;$122.83;3/7/05;$1.04;$44.39;-1.0;
86;DataExporter(;122.66;123.25;122.4;122.79;0.1186;0.1058);Buy to Open;1.0;$121.79;3/7/05;;$45.39;0.0;
87;DataExporter(SellClose);Sell to Close;-1.0;$123.25;3/8/05;$0.85;$46.31;-1.0;
88;DataExporter(;122.67;123;122.11;122.33;0.1193;0.1069);Buy to Open;1.0;$122.40;3/8/05;;$46.24;0.0;
89;DataExporter(SellClose);Sell to Close;-1.0;$123.00;3/9/05;$0.89;$48.27;-1.0;
90;DataExporter(;121.97;122.29;120.96;120.97;0.1252;0.1152);Buy to Open;1.0;$122.11;3/9/05;;$47.13;0.0;
91;DataExporter(SellClose);Sell to Close;-1.0;$122.29;3/10/05;$1.33;$48.18;-1.0;
92;DataExporter(;121.2;121.5;120.4;121.24;0.1212;0.1115);Buy to Open;1.0;$120.96;3/10/05;;$48.46;0.0;
93;DataExporter(SellClose);Sell to Close;-1.0;$121.50;3/11/05;$1.10;$49.57;-1.0;
94;DataExporter(;121.31;121.72;120.16;120.39;0.1233;0.1144);Buy to Open;1.0;$120.40;3/11/05;;$49.56;0.0;
95;DataExporter(SellClose);Sell to Close;-1.0;$121.72;3/14/05;$1.56;$50.14;-1.0;
96;DataExporter(;120.61;121.16;120.28;121.14;0.1223;0.1124);Buy to Open;1.0;$120.16;3/14/05;;$51.12;0.0;
97;DataExporter(SellClose);Sell to Close;-1.0;$121.16;3/15/05;$0.88;$52.14;-1.0;
98;DataExporter(;121.42;121.46;120.08;120.14;0.1268;0.1163);Buy to Open;1.0;$120.28;3/15/05;;$52.00;0.0;
99;DataExporter(SellClose);Sell to Close;-1.0;$121.46;3/16/05;$1.38;$54.34;-1.0;
100;DataExporter(;119.7;120.16;118.9;119.12;0.1323;0.1189);Buy to Open;1.0;$120.08;3/16/05;;$53.38;0.0;
101;DataExporter(SellClose);Sell to Close;-1.0;$120.16;3/17/05;$1.26;$54.18;-1.0;
102;DataExporter(;119.31;119.74;118.98;119.36;0.1308;0.1192);Buy to Open;1.0;$118.90;3/17/05;;$54.64;0.0;
103;DataExporter(SellClose);Sell to Close;-1.0;$119.74;3/18/05;$0.76;$55.84;-1.0;
104;DataExporter(;119.11;119.53;118.15;118.54;0.125;0.1183);Buy to Open;1.0;$118.98;3/18/05;;$55.40;0.0;
105;DataExporter(SellClose);Sell to Close;-1.0;$119.53;3/21/05;$1.38;$56.83;-1.0;
106;DataExporter(;118.71;118.78;117.76;118.1;0.1319;0.1185);Buy to Open;1.0;$118.15;3/21/05;;$56.78;0.0;
107;DataExporter(SellClose);Sell to Close;-1.0;$118.78;3/22/05;$1.02;$58.66;-1.0;
108;DataExporter(;118.37;118.93;116.9;116.9;0.1366;0.112);Buy to Open;1.0;$117.76;3/22/05;;$57.80;0.0;
109;DataExporter(SellClose);Sell to Close;-1.0;$118.93;3/23/05;$2.03;$59.73;-1.0;
110;DataExporter(;116.95;117.72;116.75;117;0.1354;0.1084);Buy to Open;1.0;$116.90;3/23/05;;$59.83;0.0;
111;DataExporter(SellClose);Sell to Close;-1.0;$117.72;3/24/05;$0.97;$60.41;-1.0;
112;DataExporter(;117.46;117.99;117.06;117.14;0.1297;0.105);Buy to Open;1.0;$116.75;3/24/05;;$60.80;0.0;
113;DataExporter(SellClose);Sell to Close;-1.0;$117.99;3/28/05;$0.93;$61.48;-1.0;
114;DataExporter(;117.42;117.94;117.31;117.31;0.1332;0.097);Buy to Open;1.0;$117.06;3/28/05;;$61.73;0.0;
115;DataExporter(SellClose);Sell to Close;-1.0;$117.94;3/29/05;$0.63;$63.14;-1.0;
116;DataExporter(;117.14;117.9;116.25;116.53;0.1398;0.0971);Buy to Open;1.0;$117.31;3/29/05;;$62.36;0.0;
