Strategy report
Symbol: SPY
Work Time: 10/27/15 - 10/23/20


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DataExporter(SellClose);Sell to Close;-1.0;$207.37;10/27/15;$0.81;$0.77;-1.0;
2;DataExporter(;206.2;207;205.79;206.6;0.1605;0.1346);Buy to Open;1.0;$206.56;10/27/15;;$0.81;0.0;
3;DataExporter(SellClose);Sell to Close;-1.0;$207.00;10/28/15;$1.21;($1.14);-1.0;
4;DataExporter(;207;208.98;206.21;208.95;0.1514;0.127);Buy to Open;1.0;$205.79;10/28/15;;$2.02;0.0;
5;DataExporter(SellClose);Sell to Close;-1.0;$208.98;10/29/15;$2.77;$2.17;-1.0;
6;DataExporter(;208.35;209.27;208.21;208.83;0.1544;0.1281);Buy to Open;1.0;$206.21;10/29/15;;$4.79;0.0;
7;DataExporter(SellClose);Sell to Close;-1.0;$209.27;10/30/15;$1.06;$6.13;-1.0;
8;DataExporter(;209.06;209.44;207.74;207.93;0.1597;0.1249);Buy to Open;1.0;$208.21;10/30/15;;$5.85;0.0;
9;DataExporter(SellClose);Sell to Close;-1.0;$209.44;11/2/15;$1.70;$4.90;-1.0;
10;DataExporter(;208.32;210.62;208.17;210.39;0.1518;0.1175);Buy to Open;1.0;$207.74;11/2/15;;$7.55;0.0;
11;DataExporter(SellClose);Sell to Close;-1.0;$210.62;11/3/15;$2.45;$7.17;-1.0;
12;DataExporter(;209.97;211.66;209.7;211;0.155;0.115);Buy to Open;1.0;$208.17;11/3/15;;$10.00;0.0;
13;DataExporter(SellClose);Sell to Close;-1.0;$211.66;11/4/15;$1.96;$11.30;-1.0;
14;DataExporter(;211.35;211.5;209.7201;210.36;0.1631;0.1156);Buy to Open;1.0;$209.70;11/4/15;;$11.96;0.0;
15;DataExporter(SellClose);Sell to Close;-1.0;$211.50;11/5/15;$1.78;$13.31;-1.0;
16;DataExporter(;210.43;210.98;209.09;210.15;0.1589;0.1137);Buy to Open;1.0;$209.72;11/5/15;;$13.74;0.0;
17;DataExporter(SellClose);Sell to Close;-1.0;$210.98;11/6/15;$1.89;$14.68;-1.0;
18;DataExporter(;209.74;210.32;208.46;210.04;0.1516;0.114);Buy to Open;1.0;$209.09;11/6/15;;$15.63;0.0;
19;DataExporter(SellClose);Sell to Close;-1.0;$210.32;11/9/15;$1.86;$17.87;-1.0;
20;DataExporter(;209.31;209.49;206.95;208.08;0.1734;0.1211);Buy to Open;1.0;$208.46;11/9/15;;$17.49;0.0;
21;DataExporter(SellClose);Sell to Close;-1.0;$209.49;11/10/15;$2.54;$18.42;-1.0;
22;DataExporter(;207.51;208.6;207.19;208.56;0.1623;0.1174);Buy to Open;1.0;$206.95;11/10/15;;$20.03;0.0;
23;DataExporter(SellClose);Sell to Close;-1.0;$208.60;11/11/15;$1.41;$20.89;-1.0;
24;DataExporter(;208.88;208.94;207.66;207.74;0.1688;0.1168);Buy to Open;1.0;$207.19;11/11/15;;$21.44;0.0;
25;DataExporter(SellClose);Sell to Close;-1.0;$208.94;11/12/15;$1.28;$25.54;-1.0;
26;DataExporter(;206.5;207.06;204.82;204.84;0.1903;0.1193);Buy to Open;1.0;$207.66;11/12/15;;$22.72;0.0;
27;DataExporter(SellClose);Sell to Close;-1.0;$207.06;11/13/15;$2.24;$27.24;-1.0;
28;DataExporter(;204.35;204.67;202.435;202.54;0.2069;0.1254);Buy to Open;1.0;$204.82;11/13/15;;$24.96;0.0;
29;DataExporter(SellClose);Sell to Close;-1.0;$204.67;11/16/15;$2.23;$24.01;-1.0;
30;DataExporter(;202.32;205.69;202.18;205.62;0.1863;0.1367);Buy to Open;1.0;$202.44;11/16/15;;$27.19;0.0;
31;DataExporter(SellClose);Sell to Close;-1.0;$205.69;11/17/15;$3.51;$27.41;-1.0;
32;DataExporter(;205.99;207.04;204.88;205.47;0.1926;0.1366);Buy to Open;1.0;$202.18;11/17/15;;$30.70;0.0;
33;DataExporter(SellClose);Sell to Close;-1.0;$207.04;11/18/15;$2.16;$29.01;-1.0;
34;DataExporter(;206.04;208.9;205.99;208.73;0.1724;0.1442);Buy to Open;1.0;$204.88;11/18/15;;$32.86;0.0;
35;DataExporter(SellClose);Sell to Close;-1.0;$208.90;11/19/15;$2.91;$33.21;-1.0;
36;DataExporter(;208.59;209.05;208.2;208.55;0.1723;0.1329);Buy to Open;1.0;$205.99;11/19/15;;$35.77;0.0;
37;DataExporter(SellClose);Sell to Close;-1.0;$209.05;11/20/15;$0.85;$35.51;-1.0;
38;DataExporter(;209.45;210.12;208.86;209.3108;0.159;0.1279);Buy to Open;1.0;$208.20;11/20/15;;$36.62;0.0;
39;DataExporter(SellClose);Sell to Close;-1.0;$210.12;11/23/15;$1.26;$37.67;-1.0;
