Name of Fund,Product Type,Transaction Date,Investment Amount,Exchange Rate,Purchase Price,Norminal Value / Quantity,Accrued Interest,Upfront Setup Fee Rate,Processing Fee,Payment Mode,Status,Date Completed,Transaction Type,Advice Given,Suitability,
VIPS - Growth (Cash),NDPMS,08-Dec-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,14-Dec-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,09-Nov-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,13-Nov-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Oct-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,15-Oct-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Sep-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,14-Sep-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,11-Aug-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,17-Aug-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Jul-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,15-Jul-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Jun-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,12-Jun-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-May-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,14-May-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Apr-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,15-Apr-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,09-Mar-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,13-Mar-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,10-Feb-2020,SGD 750,1,TBD,-,NA,3.000 %,NA,DDA,complete,14-Feb-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,08-Jan-2020,SGD 1000,1,TBD,-,NA,3.000 %,NA,DDA,complete,14-Jan-2020,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,09-Dec-2019,SGD 1000,1,TBD,-,NA,3.000 %,NA,DDA,complete,13-Dec-2019,RSP,NA,NA,
VIPS - Growth (Cash),NDPMS,20-Nov-2019,SGD 32684.41448,1,TBD,-,NA,0.000 %,NA,Cash,complete,20-Nov-2019,Transfer In,NA,NA,
HGIF - RMB Fixed Income AM3O SGD,UT,18-Nov-2019,SGD 12.36,1,SGD 9.787,1.263,NA,NA,SGD 0.00,Cash,complete,18-Nov-2019,Dividend,-,-,
HGIF - RMB Fixed Income AM3O SGD,UT,08-Nov-2019,SGD 500,1,SGD 9.825,49.257,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Nov-2019,SGD 100,1,SGD 13.185,7.341,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Nov-2019,SGD 100,1,SGD 3.9483,24.51,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
DWS China Equity A SGD,UT,08-Nov-2019,SGD 100,1,SGD 3.8244,25.3,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
Fidelity China Consumer A-SGD,UT,08-Nov-2019,SGD 100,1,SGD 1.983,48.81,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-Nov-2019,SGD 100,1,SGD 2.029,47.7,NA,NA,SGD 0.00,DDA,complete,14-Nov-2019,RSP,-,-,
SPDR® Gold Shares,ETF,21-Oct-2019,USD 4217.7,1,USD 140.59,30,NA,NA,USD 0.00,Cash Account (USD),complete,22-Oct-2019,Transfer In,NA,NA,
HGIF - RMB Fixed Income AM3O SGD,UT,14-Oct-2019,SGD 10.78,1,SGD 9.699,1.111,NA,NA,SGD 0.00,Cash,complete,14-Oct-2019,Dividend,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Oct-2019,SGD 100,1,SGD 12.043,8.037,NA,NA,SGD 0.00,DDA,complete,14-Oct-2019,RSP,-,-,
Fidelity China Consumer A-SGD,UT,08-Oct-2019,SGD 100,1,SGD 1.87,51.76,NA,NA,SGD 0.00,DDA,complete,14-Oct-2019,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Oct-2019,SGD 100,1,SGD 3.7948,25.51,NA,NA,SGD 0.00,DDA,complete,14-Oct-2019,RSP,-,-,
HGIF - RMB Fixed Income AM3O SGD,UT,08-Oct-2019,SGD 500,1,SGD 9.641,50.197,NA,NA,SGD 0.00,DDA,complete,14-Oct-2019,RSP,-,-,
