Name of Fund,Product Type,Transaction Date,Norminal Value / Quantity,Sale Price,Exchange Rate,Net Redemption Amount,Accrued Interest,Processing Fee,Redemption Mode,Status,Redemption Settlement Date,Date Completed,Transaction Type,
VIPS - Growth (Cash),NDPMS,15-Oct-2020,130.777,null 1.098506,1,SGD 143.66,NA,NA,Cash,complete,-,15-Oct-2020,Management Fee,
VIPS - Growth (Cash),NDPMS,15-Oct-2020,23.022,null 1.098506,1,SGD 25.29,NA,NA,Cash,complete,-,15-Oct-2020,Platform Fee,
VIPS - Growth (Cash),NDPMS,16-Jul-2020,115.31,null 1.097991,1,SGD 126.61,NA,NA,Cash,complete,-,16-Jul-2020,Management Fee,
VIPS - Growth (Cash),NDPMS,16-Jul-2020,20.546,null 1.097991,1,SGD 22.56,NA,NA,Cash,complete,-,16-Jul-2020,Platform Fee,
VIPS - Growth (Cash),NDPMS,17-Apr-2020,104.904,null 1.096136,1,SGD 114.99,NA,NA,Cash,complete,-,17-Apr-2020,Management Fee,
VIPS - Growth (Cash),NDPMS,17-Apr-2020,19.714,null 1.096136,1,SGD 21.61,NA,NA,Cash,complete,-,17-Apr-2020,Platform Fee,
VIPS - Growth (Cash),NDPMS,16-Jan-2020,12.176,null 1.093073,1,SGD 13.31,NA,NA,Cash,complete,-,16-Jan-2020,Management Fee,
Phillip Money Market SGD,UT,20-Nov-2019,4516.24,SGD 1.212201,1,SGD 5474.59,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
HGIF - RMB Fixed Income AM3O SGD,UT,20-Nov-2019,567.978,SGD 10.037,1,SGD 5700.8,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
Fidelity China Focus A-SGD,UT,20-Nov-2019,246.85,SGD 2.025522,1,SGD 500,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
Fidelity China Consumer A-SGD,UT,20-Nov-2019,1517.4,SGD 2.04625,1,SGD 3104.98,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
Eastspring Investments - China Equity Fund AS SGD,UT,20-Nov-2019,39.056,SGD 12.80213,1,SGD 500,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
DWS China Equity A SGD,UT,20-Nov-2019,131.37,SGD 3.806044,1,SGD 500,NA,SGD 0.00,Cash,complete,-,20-Nov-2019,Transfer Out,
